carat,cut,color,clarity,depth,table,price,x,y,z
2.08,Good,I,IF,61.2,65.2,9848,9.97,10.1,6.1
1.87,Fair,E,SI2,55.8,61.8,11108,8.88,8.89,4.96
0.81,Fair,G,VVS1,55.1,62.5,5958,5.2,5.29,2.87
1.46,Ideal,H,VVS2,60.2,51.0,7401,6.38,6.5,3.84
1.56,Fair,F,SI2,59.8,51.8,6972,10.46,10.29,6.26
1.83,Good,J,SI1,64.5,54.1,5789,12.72,12.71,8.2
2.94,Ideal,G,SI2,56.1,67.2,18548,20.46,20.85,11.48
1.44,Fair,D,VS1,59.5,58.2,3677,7.32,7.39,4.36
0.3,Ideal,E,IF,61.5,68.8,1746,1.65,1.67,1.01
3.36,Ideal,I,VVS1,63.9,50.5,12905,17.92,17.74,11.45
1.2,Premium,D,VS2,61.7,66.0,5410,5.52,5.5,3.41
2.0,Premium,J,VS1,58.8,62.7,13299,10.69,10.53,6.29
1.18,Fair,J,VS1,58.9,66.5,4462,7.37,7.26,4.34
0.39,Very Good,E,VVS1,55.9,61.0,1166,1.81,1.8,1.01
2.7,Fair,J,SI1,57.6,63.4,17878,15.8,15.88,9.1
1.82,Premium,I,VS1,57.9,69.6,9374,11.97,11.81,6.93
2.12,Very Good,J,VVS2,63.3,59.4,8882,9.56,9.65,6.05
2.89,Ideal,G,VVS2,62.7,68.9,9758,12.86,12.74,8.06
2.23,Premium,I,SI2,61.8,66.4,13749,13.56,13.78,8.38
1.3,Ideal,H,VS1,64.9,54.0,9073,8.56,8.64,5.56
2.82,Good,I,VS2,58.7,64.3,12370,16.95,17.17,9.95
0.57,Good,E,SI2,59.1,67.9,1470,3.13,3.1,1.85
1.87,Fair,H,SI2,60.7,57.3,11667,11.33,11.54,6.88
3.36,Good,I,VVS2,62.4,66.8,11234,18.59,18.41,11.6
1.58,Premium,I,SI1,57.5,57.4,10563,8.0,7.92,4.6
2.24,Ideal,D,I1,60.6,68.9,12090,11.64,11.73,7.05
2.45,Ideal,H,SI2,56.1,67.5,10593,15.69,15.84,8.8
0.31,Fair,I,VVS1,63.3,68.0,862,1.6,1.63,1.01
2.83,Fair,F,IF,60.9,54.5,19424,13.48,13.7,8.21
1.62,Good,J,VVS1,64.1,68.9,10100,7.24,7.25,4.64
2.3,Fair,G,VS1,61.0,52.2,11665,13.42,13.57,8.19
1.03,Premium,J,IF,64.1,67.1,6821,6.69,6.69,4.29
1.42,Ideal,H,VVS1,62.2,53.1,4474,6.52,6.56,4.06
3.22,Ideal,F,IF,62.9,66.6,13351,17.33,17.56,10.9
0.3,Good,G,VVS2,60.9,67.6,1737,1.7,1.72,1.04
1.06,Very Good,J,VVS2,56.6,69.0,5368,4.44,4.46,2.51
2.63,Premium,F,VVS1,58.0,66.5,14405,11.44,11.46,6.64
3.3,Good,E,SI1,64.1,59.0,17586,15.29,14.99,9.8
0.52,Ideal,I,VS2,58.9,57.2,3042,2.84,2.82,1.67
2.32,Good,G,SI1,62.8,66.8,9445,13.11,13.14,8.23
2.44,Good,F,VVS1,55.6,68.8,9781,10.59,10.6,5.89
1.21,Very Good,I,SI1,58.3,67.2,6485,5.67,5.71,3.31
2.8,Ideal,J,VVS1,62.8,59.8,13908,18.21,18.48,11.44
2.58,Ideal,J,VVS2,56.5,68.0,16492,12.85,12.74,7.26
0.51,Good,G,VS2,58.1,67.4,1823,2.53,2.49,1.47
1.62,Ideal,J,IF,59.9,68.1,8968,8.87,9.02,5.31
0.26,Good,F,I1,55.9,51.8,1228,1.71,1.69,0.96
2.42,Good,D,I1,60.3,55.7,10018,15.38,15.33,9.27
3.33,Ideal,E,VS2,61.8,51.4,17743,14.32,14.24,8.85
0.39,Premium,H,SI2,62.9,64.0,2329,2.2,2.17,1.38
0.91,Good,E,VS1,55.3,56.7,3780,5.2,5.21,2.88
2.86,Very Good,H,VS2,60.1,57.1,15963,15.18,14.98,9.12
2.13,Very Good,J,VS2,64.7,61.0,12024,8.97,9.01,5.8
3.1,Ideal,F,VS2,57.4,61.1,12316,18.93,19.25,10.87
0.87,Fair,I,SI1,60.7,61.4,3875,5.36,5.39,3.25
2.91,Ideal,F,SI1,64.4,69.4,15759,11.98,12.01,7.72
1.17,Good,H,SI2,56.0,54.8,7101,4.82,4.84,2.7
2.86,Very Good,D,I1,61.3,67.3,10116,11.49,11.64,7.04
3.23,Very Good,I,VVS1,56.5,68.0,21243,17.22,17.45,9.73
1.11,Fair,F,SI2,64.0,69.9,7605,6.29,6.28,4.03
1.2,Fair,I,SI2,61.5,61.9,6491,6.01,5.92,3.7
0.67,Ideal,E,VS1,62.0,52.0,3801,3.58,3.57,2.22
0.35,Premium,E,VS1,59.0,64.1,1433,1.88,1.89,1.11
0.48,Premium,H,VS1,60.6,67.1,3265,2.71,2.68,1.64
2.83,Very Good,F,SI2,59.7,67.0,13430,18.35,18.46,10.95
2.14,Good,D,VS1,60.5,56.3,6402,13.53,13.32,8.19
0.96,Good,E,VVS2,55.7,69.8,5828,5.23,5.26,2.91
0.34,Premium,I,SI1,64.1,63.6,2375,1.91,1.93,1.22
0.72,Very Good,J,SI2,56.5,61.0,3908,3.05,3.1,1.72
0.96,Ideal,D,VVS2,56.9,68.4,3358,5.6,5.61,3.19
1.52,Very Good,D,IF,58.1,66.9,6853,6.52,6.51,3.79
1.89,Very Good,H,I1,63.8,59.8,12753,10.77,10.67,6.87
0.5,Good,J,IF,58.0,69.9,2883,3.4,3.39,1.97
2.22,Ideal,F,VS2,56.7,56.9,6614,9.31,9.25,5.28
3.06,Fair,F,VS2,56.1,63.7,20731,13.86,14.04,7.78
3.38,Good,E,IF,55.2,63.4,15202,21.45,21.25,11.84
3.07,Very Good,H,SI2,57.3,50.7,15332,19.83,19.93,11.36
0.81,Good,G,I1,55.5,62.3,2673,4.93,5.0,2.74
1.32,Fair,G,IF,57.6,62.4,8938,7.07,7.08,4.07
2.48,Premium,D,VVS2,63.4,58.3,16542,13.98,14.03,8.86
0.48,Very Good,J,IF,57.4,54.6,2892,2.07,2.05,1.19
2.94,Good,F,VS1,59.1,56.3,19816,14.46,14.69,8.55
2.24,Fair,D,SI2,59.4,61.7,15036,14.59,14.41,8.67
0.94,Very Good,E,VVS2,57.8,56.9,5761,3.82,3.84,2.21
1.59,Ideal,I,VS2,62.0,50.8,8902,6.62,6.74,4.1
2.65,Good,D,VVS2,62.8,66.0,9470,16.77,16.96,10.53
3.02,Good,E,VVS1,56.3,62.9,12922,19.87,19.52,11.19
1.35,Fair,I,IF,56.5,54.8,4243,9.27,9.4,5.24
1.76,Fair,H,VVS1,61.3,54.3,7436,10.56,10.65,6.47
2.6,Good,G,SI2,59.5,54.7,15816,17.21,16.95,10.24
1.29,Very Good,F,VS2,64.1,52.9,8256,7.27,7.38,4.66
1.96,Very Good,H,VS2,61.1,64.9,12837,8.12,8.18,4.96
2.75,Premium,G,IF,61.0,59.2,19148,14.71,14.48,8.97
2.87,Premium,D,I1,62.1,69.4,10892,19.89,19.51,12.35
1.35,Ideal,H,VVS1,56.5,61.3,5472,8.3,8.18,4.69
0.23,Fair,H,SI1,56.3,59.8,903,1.34,1.33,0.75
0.59,Very Good,D,IF,57.1,58.6,2413,3.23,3.2,1.84
1.31,Fair,F,SI1,58.9,57.8,3339,5.67,5.66,3.34
0.39,Good,E,SI1,61.8,60.7,1482,1.92,1.91,1.19
0.93,Fair,F,VVS1,57.4,53.9,5119,5.73,5.64,3.29
3.4,Good,H,SI2,58.8,57.6,17897,21.72,21.37,12.77
0.65,Good,J,VS1,60.3,67.8,2431,3.21,3.21,1.94
0.53,Fair,F,VVS1,55.6,63.0,1777,3.4,3.41,1.89
2.58,Fair,E,SI1,58.7,64.0,16248,16.59,16.84,9.74
2.31,Very Good,I,VVS2,61.5,65.2,14253,16.02,16.07,9.85
2.53,Fair,D,SI2,65.0,69.7,17233,14.28,14.54,9.28
1.9,Good,H,VS1,60.1,61.7,12657,11.04,11.03,6.64
0.83,Good,J,VS2,57.8,64.9,5439,4.22,4.15,2.44
2.09,Premium,G,VVS1,59.1,66.3,7465,10.6,10.81,6.26
1.82,Good,E,VS1,55.8,62.8,6607,9.04,8.96,5.04
1.01,Good,E,I1,55.6,51.3,2140,5.75,5.74,3.2
0.71,Very Good,E,VS1,55.8,55.3,3910,4.62,4.65,2.58
3.21,Fair,G,I1,59.9,57.8,14259,21.38,21.35,12.81
0.95,Very Good,I,SI1,57.8,52.4,3180,5.97,6.02,3.45
2.78,Fair,D,VS1,55.1,51.4,16217,17.09,16.8,9.42
1.01,Premium,H,IF,61.3,52.8,2625,4.69,4.78,2.87
1.41,Good,G,I1,62.2,64.3,6309,6.19,6.21,3.85
1.57,Premium,I,SI1,58.8,69.6,5845,9.08,9.26,5.34
0.91,Good,G,VVS2,60.8,63.9,3776,4.86,4.94,2.95
1.01,Very Good,H,VVS1,58.5,59.4,5252,6.44,6.56,3.77
2.64,Very Good,E,VS1,55.0,61.8,17660,17.6,17.58,9.68
3.37,Fair,J,VVS1,64.7,62.0,21384,23.46,23.1,15.18
1.54,Fair,E,I1,56.5,61.9,7761,8.97,8.94,5.07
0.65,Fair,E,VS1,58.2,54.9,3615,4.25,4.21,2.47
0.75,Premium,E,VVS2,56.2,66.6,2421,4.26,4.27,2.39
3.06,Good,I,SI2,59.1,63.7,19282,19.36,19.56,11.44
3.12,Very Good,H,SI2,62.4,57.6,15110,18.17,17.85,11.34
0.55,Premium,H,VS2,65.0,53.6,2309,2.59,2.57,1.68
0.25,Premium,H,SI1,55.3,58.4,991,1.25,1.23,0.69
1.4,Premium,I,I1,64.7,59.2,3697,6.17,6.14,3.99
2.52,Ideal,J,VS1,62.6,54.2,11120,15.45,15.36,9.67
3.49,Fair,F,VS2,57.1,52.1,19748,17.89,17.66,10.22
1.3,Ideal,D,I1,63.3,61.4,6744,5.7,5.59,3.61
2.17,Very Good,J,I1,62.4,52.4,13441,15.1,14.85,9.42
2.88,Fair,F,SI1,60.9,65.1,16712,15.47,15.6,9.42
3.35,Premium,F,SI1,58.7,54.8,15163,20.61,21.0,12.1
0.9,Fair,F,VVS2,64.2,62.6,5393,6.09,6.18,3.91
3.36,Fair,H,VVS1,56.7,57.4,17101,16.16,15.84,9.16
0.59,Premium,J,IF,64.9,58.4,2560,3.64,3.65,2.36
2.08,Premium,D,VS2,64.0,53.2,10643,10.21,10.34,6.53
1.26,Very Good,G,VS1,60.4,55.0,3198,5.41,5.42,3.27
2.37,Ideal,E,VS1,63.3,67.4,15659,9.68,9.6,6.13
2.03,Very Good,J,VS2,58.7,65.1,9190,10.38,10.19,6.09
1.6,Very Good,F,I1,60.2,66.7,8669,9.35,9.27,5.63
2.8,Good,G,VS2,61.9,64.6,7644,17.88,18.06,11.07
1.65,Good,E,SI2,62.0,51.9,10711,10.16,10.05,6.3
0.3,Good,I,SI1,59.9,50.9,956,1.56,1.58,0.93
2.93,Ideal,H,VS1,59.0,50.4,18567,16.9,16.68,9.97
1.33,Ideal,I,SI2,64.5,65.4,4780,5.47,5.57,3.53
3.45,Very Good,I,SI1,64.4,63.5,10774,18.5,18.44,11.91
2.01,Ideal,J,IF,58.1,59.4,13449,10.56,10.45,6.14
3.17,Ideal,I,SI2,58.5,69.5,17356,21.67,21.77,12.68
0.99,Fair,E,IF,58.0,58.7,5653,6.14,6.07,3.56
2.09,Good,I,I1,57.3,59.7,13931,9.12,9.08,5.23
0.22,Very Good,J,VS1,64.5,55.9,1121,1.04,1.04,0.67
0.35,Ideal,G,SI1,62.2,50.3,2635,1.7,1.69,1.06
0.21,Good,E,VVS2,62.7,68.7,610,1.23,1.21,0.77
0.76,Fair,I,VVS1,58.6,60.2,5108,3.67,3.71,2.15
2.92,Good,G,VVS1,61.5,61.4,15645,11.85,11.81,7.29
2.3,Fair,D,SI2,58.7,60.9,7049,14.27,14.43,8.38
3.18,Premium,H,VS2,55.7,64.6,21259,21.16,21.51,11.79
2.42,Very Good,E,VVS1,60.5,55.0,7622,16.43,16.35,9.94
1.7,Very Good,F,VVS1,57.7,51.8,9145,8.16,8.24,4.71
0.29,Very Good,D,SI1,56.6,53.4,1757,1.99,1.95,1.13
1.72,Ideal,H,VVS2,60.8,50.6,10113,10.68,10.65,6.49
1.54,Ideal,J,SI2,56.8,65.5,5603,10.4,10.47,5.91
3.01,Fair,E,VVS2,58.3,59.3,12880,19.19,19.42,11.19
3.29,Ideal,J,VVS1,61.8,61.2,22546,17.89,18.19,11.06
0.39,Good,H,VVS1,63.8,67.7,1320,1.94,1.95,1.24
1.65,Ideal,H,SI2,60.6,65.9,9006,9.23,9.34,5.59
1.23,Premium,H,SI1,57.1,52.6,5104,7.87,7.76,4.49
3.15,Very Good,E,VS1,60.5,67.1,17944,14.72,14.81,8.91
2.96,Good,E,SI2,55.9,65.2,8336,15.19,15.47,8.49
2.23,Ideal,E,VS2,64.3,65.7,7245,14.65,14.67,9.42
1.3,Premium,I,VS1,58.8,54.7,4592,5.77,5.88,3.39
1.68,Fair,I,VVS1,63.2,61.4,7176,10.65,10.45,6.73
2.4,Very Good,D,VVS2,64.7,52.4,13438,14.26,14.35,9.23
3.3,Ideal,G,VS2,61.6,68.4,16411,17.46,17.5,10.76
0.62,Ideal,I,IF,60.3,57.0,1830,3.37,3.33,2.03
1.45,Premium,J,I1,62.4,66.9,6225,6.85,6.77,4.27
0.23,Ideal,D,VS1,65.0,62.3,797,1.06,1.08,0.69
1.91,Very Good,H,SI1,62.8,63.4,10997,9.93,10.1,6.24
0.37,Good,D,SI1,58.5,67.4,2199,2.15,2.15,1.26
3.18,Premium,E,VVS2,57.9,59.8,14991,15.13,14.86,8.76
2.61,Fair,I,VS2,55.2,58.6,18601,17.83,18.05,9.84
2.51,Very Good,E,I1,62.8,54.6,16801,14.0,14.11,8.79
3.25,Good,D,VVS1,60.1,62.4,14943,17.74,17.4,10.66
3.11,Fair,E,VS2,59.8,62.6,16775,17.51,17.46,10.47
1.73,Premium,J,VS1,61.9,63.2,9509,9.7,9.76,6.0
2.26,Ideal,F,VS1,55.3,67.5,7786,9.45,9.31,5.23
1.41,Ideal,D,VS2,65.0,54.1,5337,9.32,9.35,6.06
0.3,Very Good,D,VS1,64.2,65.4,1474,1.97,2.01,1.26
2.48,Premium,F,IF,55.3,50.4,6853,12.9,12.97,7.13
1.73,Premium,H,SI2,62.3,50.5,7132,7.3,7.41,4.55
2.78,Premium,D,VVS2,61.6,59.0,12212,11.56,11.72,7.12
2.08,Good,J,VS2,64.3,54.9,8664,13.22,13.04,8.5
3.33,Fair,F,VVS2,57.6,51.2,9330,22.59,22.17,13.01
1.83,Premium,H,I1,60.9,58.6,6612,7.59,7.64,4.62
2.99,Good,F,VVS2,61.6,68.7,11159,13.4,13.47,8.25
1.01,Fair,H,VVS1,59.5,54.1,4493,6.71,6.59,3.99
3.23,Premium,F,I1,61.1,62.1,16628,13.96,13.98,8.53
1.3,Fair,D,SI2,57.8,70.0,7782,8.67,8.65,5.01
2.3,Very Good,I,VVS1,57.0,55.8,16235,14.99,15.13,8.54
2.27,Ideal,G,VS2,64.1,53.3,9504,11.99,12.0,7.69
2.98,Ideal,G,IF,56.9,64.2,12291,14.68,14.82,8.35
1.84,Fair,F,SI2,58.0,61.4,9617,9.43,9.42,5.47
2.15,Good,D,VS1,59.7,69.7,7899,9.04,8.89,5.4
0.51,Premium,I,SI2,63.6,64.7,1930,3.17,3.11,2.02
3.29,Fair,H,IF,55.9,65.7,10451,15.86,15.67,8.87
0.3,Ideal,I,VS1,64.6,60.1,1540,2.04,2.05,1.32
0.91,Ideal,J,VS2,63.3,69.2,5526,5.48,5.37,3.47
1.04,Premium,E,VVS1,61.0,56.1,4395,6.2,6.25,3.78
2.62,Good,G,VS2,58.4,58.4,11846,11.87,12.0,6.93
0.51,Very Good,I,VS1,57.4,61.9,1146,2.23,2.2,1.28
2.31,Fair,E,IF,63.3,52.7,9332,9.71,9.83,6.15
1.35,Fair,H,SI1,62.8,56.1,5199,8.78,8.9,5.51
3.17,Premium,J,IF,55.8,69.6,21768,16.02,16.31,8.94
2.11,Good,I,SI2,64.3,52.5,12528,12.25,12.19,7.88
2.43,Good,E,VVS1,59.9,65.6,11195,15.62,15.49,9.36
1.13,Ideal,H,SI1,57.5,64.0,5022,6.32,6.32,3.63
1.49,Ideal,G,IF,56.8,50.5,4824,9.36,9.18,5.32
0.25,Premium,F,VVS2,58.0,52.9,1631,1.29,1.27,0.75
2.31,Good,E,SI2,59.1,55.4,7982,12.18,12.11,7.2
1.13,Premium,E,VVS2,62.5,58.4,6092,4.6,4.58,2.88
2.61,Good,J,VVS1,57.3,57.0,12053,17.81,17.96,10.21
1.38,Ideal,G,VS1,55.8,65.3,7674,9.49,9.4,5.3
2.47,Premium,I,VS2,60.8,54.1,10873,16.82,17.06,10.23
1.76,Very Good,J,VS2,62.6,65.8,10548,10.15,10.05,6.35
1.91,Ideal,H,VS1,60.9,53.1,7917,8.74,8.83,5.32
0.71,Fair,I,IF,63.3,56.1,2063,4.32,4.38,2.73
3.1,Very Good,I,SI2,61.4,55.3,16483,20.61,20.83,12.65
0.58,Very Good,F,I1,64.4,63.7,1655,3.44,3.42,2.22
3.34,Good,H,SI2,60.7,58.4,14562,16.7,16.8,10.14
1.25,Very Good,H,VS2,56.6,66.5,5152,6.5,6.45,3.68
1.81,Fair,H,VVS1,62.8,60.0,12961,7.76,7.65,4.87
1.18,Premium,G,SI2,57.6,56.6,5954,8.06,8.0,4.64
1.36,Very Good,I,VVS2,59.7,59.9,9127,7.97,7.85,4.76
0.5,Premium,G,SI1,63.6,56.1,2176,2.08,2.1,1.32
1.06,Ideal,J,I1,57.6,64.8,4294,5.04,4.99,2.9
2.98,Ideal,J,VS2,61.0,54.4,14778,14.6,14.45,8.91
1.7,Good,F,VVS2,59.9,57.6,7109,8.91,9.06,5.34
3.1,Fair,J,VS1,60.2,57.5,12349,12.57,12.59,7.57
2.31,Good,D,SI1,55.0,68.6,8829,10.56,10.57,5.81
3.44,Very Good,G,I1,62.3,50.8,21453,17.86,17.94,11.13
1.48,Ideal,J,IF,55.9,53.1,8079,8.66,8.6,4.84
2.08,Ideal,J,VS1,56.1,62.1,11406,10.58,10.38,5.94
0.69,Ideal,J,IF,64.6,56.7,1896,3.65,3.63,2.36
0.37,Fair,D,VS1,59.3,52.8,2022,2.11,2.12,1.25
2.57,Fair,E,I1,58.3,67.9,16070,10.55,10.7,6.15
0.4,Very Good,J,SI1,60.8,63.3,1062,2.34,2.31,1.42
1.75,Good,G,SI2,57.5,58.4,9533,11.45,11.38,6.58
3.1,Fair,I,VVS2,56.5,69.4,21218,16.42,16.58,9.28
2.0,Fair,D,VS2,56.7,59.8,6837,13.15,13.23,7.46
0.33,Fair,F,VS2,61.7,65.1,1466,1.64,1.65,1.01
1.56,Very Good,J,SI1,55.7,67.2,4710,10.24,10.11,5.7
1.46,Ideal,G,SI1,56.0,68.5,3963,9.11,9.23,5.1
1.96,Premium,H,IF,57.3,56.5,7123,11.73,11.81,6.72
3.12,Very Good,F,VS1,56.1,59.2,13902,20.87,20.52,11.71
2.22,Good,J,VS1,62.0,62.7,6132,13.87,13.95,8.6
1.03,Good,D,VVS1,59.5,57.6,6280,4.37,4.35,2.6
0.93,Ideal,E,VVS1,59.3,53.1,2988,6.46,6.52,3.83
1.54,Good,F,VS1,62.7,51.6,6387,10.02,9.89,6.28
1.1,Very Good,F,VS2,57.6,52.5,5138,7.55,7.54,4.35
0.3,Very Good,D,VS1,55.2,67.3,1926,1.8,1.8,0.99
2.41,Premium,J,VVS2,58.2,65.0,11693,10.71,10.58,6.23
0.5,Fair,E,SI2,58.6,58.4,3352,3.36,3.33,1.97
1.56,Ideal,J,VS1,56.2,65.8,8820,8.39,8.46,4.72
1.05,Ideal,I,IF,59.9,66.6,3719,4.75,4.72,2.85
1.68,Premium,H,VVS2,63.8,59.5,11496,8.7,8.67,5.55
2.66,Good,H,VVS1,56.3,55.6,16873,11.77,11.62,6.63
2.5,Fair,D,VVS1,55.4,52.8,15251,15.99,15.94,8.86
0.81,Premium,D,VVS2,62.0,53.1,4778,5.32,5.32,3.3
3.31,Good,E,SI2,62.9,59.6,21939,14.64,14.47,9.21
2.21,Very Good,J,IF,61.3,57.9,10595,13.63,13.62,8.36
1.17,Premium,G,SI1,55.1,61.8,6791,6.91,6.93,3.81
2.49,Premium,F,IF,56.9,59.0,9659,14.16,13.88,8.06
2.19,Premium,D,VS1,62.6,55.9,11489,11.35,11.21,7.11
0.71,Fair,H,SI2,63.6,67.6,3911,2.95,2.91,1.88
2.72,Ideal,J,SI2,62.8,54.6,18875,13.19,12.96,8.28
1.89,Good,G,VS2,60.1,59.0,9779,8.75,8.73,5.26
3.38,Premium,J,I1,63.4,58.8,19428,19.97,19.91,12.66
2.62,Ideal,D,SI1,58.8,54.3,16033,10.59,10.76,6.23
3.37,Very Good,I,VS2,60.1,52.0,18768,16.01,16.05,9.62
3.08,Premium,J,VS1,55.6,53.5,8523,15.45,15.35,8.59
1.96,Very Good,I,SI2,58.2,60.4,12729,12.38,12.18,7.21
3.1,Good,G,SI2,61.8,62.6,12645,17.78,17.69,10.99
2.2,Good,G,SI2,56.8,68.6,14113,14.15,13.94,8.04
2.35,Very Good,E,VVS1,56.8,50.7,6688,15.23,15.52,8.65
0.93,Premium,J,IF,61.8,64.3,5233,4.6,4.56,2.84
1.62,Good,E,VVS1,64.9,67.5,10390,10.16,10.23,6.59
2.61,Very Good,I,SI1,57.5,61.7,17792,13.37,13.58,7.69
3.35,Good,D,VVS1,61.8,62.3,11537,14.76,14.51,9.12
2.0,Ideal,J,IF,59.1,67.6,10243,11.96,11.83,7.07
2.15,Ideal,J,VVS1,58.0,58.3,10344,13.43,13.58,7.79
3.23,Fair,G,VVS2,56.0,64.0,15448,14.7,14.78,8.23
3.2,Good,G,VVS1,64.7,57.0,12442,15.41,15.7,9.97
2.61,Very Good,J,VVS1,59.3,58.7,14052,15.47,15.37,9.17
2.65,Good,H,VS1,64.5,61.2,14855,10.73,10.79,6.92
1.46,Fair,I,VS1,58.4,56.0,8300,10.02,10.08,5.85
3.11,Fair,H,VVS2,64.0,60.8,15475,17.32,17.61,11.08
3.49,Premium,G,I1,62.9,50.6,15441,24.14,24.54,15.18
2.6,Very Good,J,VVS1,57.6,62.4,7313,18.15,18.49,10.45
0.44,Ideal,G,VVS1,56.8,65.4,2060,1.8,1.81,1.02
1.98,Premium,J,VVS1,64.1,61.2,12846,10.5,10.45,6.73
3.36,Good,E,SI1,59.9,62.6,18634,19.5,19.5,11.68
